trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-82.26098807957771,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-114.68229130196835,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,11,-85.49066390718794,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-161.414510594272,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-106.76001233836742,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-55.15063725320794,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-135.9453592867103,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-80.38924291203897,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-116.19832596847225,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,9,-4.190174575047612,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,1,-59.33455529914983,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,20,-6.986491597857881,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-27.550790509861145,"{0: 25, 1: 2, 2: 1, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-27.24952025018589,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,1,-47.33048713525621,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,5,10.65739397231553,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,13.618815624114372,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,3,10.050973613918796,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,3,29.57278879713984,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,8,-1.0069553729275518,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,14,-23.440495581687422,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,0,-52.75983895374455,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,5,0.6206320324578798,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,11,28.49862412091744,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,9,17.83028333461668,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,6,-27.237922308174852,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",30,8,-51.50242373434888,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",25,9,28.99296639463572,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,20.771374613265166,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,18,10.736189044297802,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
