trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.995, 'e': 1.0}",25,0,-50.846607651393306,"{0: 15, 1: 7, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.99, 'e': 0.9999500012499791}",25,0,-134.28809341805763,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.985, 'e': 0.9998000199986667}",25,0,-110.11937443346861,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.98, 'e': 0.9995501012348142}",20,0,-87.91532347747571,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.975, 'e': 0.9992003199146837}",25,0,-87.71797515109694,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.97, 'e': 0.9987507809245809}",20,0,-272.32512768455865,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 6}",0
7,False,"{'a': 0.965, 'e': 0.9982016190284373}",20,0,-48.44898890877127,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.96, 'e': 0.9975529988004797}",20,3,-34.57051310660765,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
9,False,"{'a': 0.955, 'e': 0.9968051145430329}",20,0,-108.29142182715077,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.95, 'e': 0.9959581901895135}",30,20,8.443494271472332,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.945, 'e': 0.9950124791926823}",25,0,-101.23789194039422,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.94, 'e': 0.9939682643982343}",20,1,-24.543684631439678,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
13,False,"{'a': 0.9349999999999999, 'e': 0.9928258579038134}",20,0,-58.69757622002868,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.9299999999999999, 'e': 0.9915856009035505}",20,0,-56.51625186945363,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
