waypoint,light,intended_dir_oncoming,intended_dir_left,none,forward,left,right
right,green,forward,right,-4.826446763,0,0,2.211618356
forward,green,,forward,-4.910831094,2.186811522,1.046933947,1.312068192
left,green,forward,left,-4.233506144,1.19773832,-19.21050463,0.182260538
left,red,right,left,1.963443966,-20.09518911,-27.77787884,0.401895414
right,green,right,forward,-4.687697052,0.024169852,0,1.842960092
right,green,,,-5.264237502,0.841289851,0.815795402,1.868489704
left,red,right,right,1.886575362,0,-20.19772149,0
left,green,right,right,0,1.363491114,0,0.352832407
forward,red,right,right,1.471413858,-8.033575868,0,0
right,green,left,right,-2.6908462,0.787962667,0.985096606,1.836665532
forward,green,,right,-5.168205302,1.671146445,0.101152342,0.049834594
left,red,left,forward,2.111346542,-23.08936844,-37.09359703,-19.13379626
right,red,right,left,0,0,-36.79013077,2.046105803
left,green,,left,-4.386173924,0.567344075,1.658970253,0.438071318
left,red,,right,1.62027572,-18.88998379,-9.187017948,0.723640152
forward,red,,forward,1.833773198,-39.67186986,-40.02693335,-20.08050383
right,red,right,,0.335386831,-14.71444474,-38.88961631,1.811512792
right,red,,forward,1.086187742,-39.80486112,-40.09498792,-20.34852203
right,red,left,,1.209207798,-10.42283188,-10.09120689,1.943472413
left,green,left,forward,-4.588750054,0.785294776,1.359628421,0.484890176
left,green,left,,-4.832439696,0.857290637,2.259454525,0.895698194
forward,green,left,,-4.715569872,1.476462731,0.784867188,0.710468286
right,red,,,0.332530323,-11.07179978,-27.99372906,1.618173784
forward,red,right,left,2.061941608,-35.94589336,0,0.400322164
right,red,right,forward,0.600014097,0,-39.32152107,-13.00418034
forward,red,,,1.971994545,-11.75994905,-9.969672606,0.866089693
left,green,left,left,-4.396064965,0,1.807108929,0.643326478
left,red,left,,2.055608931,-10.11978517,-10.48428156,0.715558052
forward,green,right,right,0,1.991259948,0,0.354212112
right,green,forward,left,-2.224188649,1.090660347,-20.43454153,0.612385692
left,green,,right,-4.277998872,0.76599238,2.294455833,1.0500077
right,green,,forward,-5.04515736,0.768150328,0.662923265,2.099313057
right,green,right,,-4.839459026,0.487054159,-19.54340375,0.740442548
left,green,left,right,0,0.669069932,1.79240109,0.166504161
forward,green,,,-5.292506939,1.051526608,1.029305645,0.655002013
forward,green,right,forward,0,0,-9.627496386,0.508718712
left,red,forward,,1.578496613,-10.74568691,-9.940436251,0.839868957
right,green,left,left,-3.779417972,0.288657077,1.054035178,1.410398488
left,red,left,left,1.943717377,-14.46451426,-8.832590545,-0.015995047
right,red,left,right,0.699915162,-8.257855673,0,1.780830095
forward,red,forward,forward,1.863536716,-31.71836071,-20.2754722,-18.87816145
left,red,forward,right,0.864202873,-8.928078653,-18.04968602,1.487357002
left,green,forward,right,0,0.628397863,-16.36111874,0.746105091
forward,red,forward,left,1.293666624,-13.95382179,-20.86445684,1.114381809
forward,green,forward,right,0,1.219307762,-18.89616006,0
left,green,forward,,-4.474925326,0.738097417,-19.83418471,-0.046752048
left,red,,left,2.238724107,-10.37711373,-18.83610937,0.948231258
forward,red,right,forward,1.748475593,-20.48515359,-20.42965077,-13.31541282
forward,green,,left,-5.329645924,1.667633711,0.620983716,0.435144257
right,red,,left,0.283442654,-9.677934141,-11.15450097,1.688201604
forward,green,forward,forward,-5.13389863,1.549699943,-20.11664465,0.883671426
right,green,,right,-5.187937246,1.361236326,0.498566438,0.504375823
forward,green,left,right,-3.680447076,1.525739754,0.187360295,0.336792281
right,green,forward,forward,-4.939406302,0,-15.51413143,1.077289101
forward,red,forward,right,1.915964484,-19.53665466,-5.314863052,0.050156822
forward,red,left,right,1.673434715,-4.647319858,0,1.296897765
forward,green,left,left,-5.289360474,1.378712779,0.66782233,0.996079931
right,green,right,left,0,0.757628896,0,0
left,red,,,1.397053841,-10.34518836,-9.512308436,0.681202948
left,green,right,forward,-5.065778068,1.338361775,-14.91140663,-0.134440087
forward,red,left,forward,1.65518719,0,-23.4966898,0
left,red,right,,1.863432497,-14.40697574,-38.45756607,0.397992218
left,green,,forward,-4.86960514,0.32185572,1.410808394,0.542531743
right,red,,right,0.023935676,-5.181138065,-4.561975393,1.916124724
forward,green,left,forward,-4.146668476,2.239852918,1.025400611,0.871733721
right,green,left,,-4.748545438,1.226629094,0.577908679,1.638972628
right,red,forward,forward,1.05455735,-38.95532495,-39.04420089,0
right,red,forward,left,0,-10.7410064,-7.759301002,2.042593166
right,red,forward,,1.120373378,-10.35627766,-18.83657415,1.476292294
forward,green,forward,left,-2.22303047,2.231269595,-18.5111856,0.426887325
right,green,left,forward,-4.323105756,-0.07053702,0.60829645,1.550734334
left,red,forward,left,1.969759206,-9.800650806,0,1.133784968
forward,red,left,left,1.665072091,-5.658958015,-24.673522,0.549227155
left,green,,,-5.042993955,0.608658777,1.914380466,0.889125737
left,red,right,forward,1.52537455,0,-22.85250703,-19.16612224
left,green,right,left,-4.209615151,1.004695364,-17.32461417,0
forward,red,left,,1.402664939,-10.56625769,-10.41527053,0.704822007
right,red,left,left,0.617250084,-10.7387157,-11.67884253,1.738153432
left,green,right,,-4.827747534,1.102363185,-19.748434,0.429024274
left,red,,forward,1.984732617,-39.64042108,-39.67558517,-20.16437051
left,red,left,right,2.117828516,-4.643611313,-7.687103322,0.989520046
forward,red,,left,1.932537908,-24.6196941,-20.93041953,0.776461326
left,red,forward,forward,1.039900674,-38.92851986,-39.12743285,-20.03175609
right,green,forward,,-4.676134302,0.42581788,-19.81605143,1.956122283
right,green,right,right,-2.409609416,1.199330801,0,0
forward,green,forward,,-4.803724681,1.779627919,-19.70816147,0.553776186
forward,green,right,left,0,2.212385279,-17.97351417,0
forward,red,right,,2.049747419,-12.82862061,-40.35252128,1.179322988
right,red,forward,right,0.624321809,0,0,1.747547151
left,green,forward,forward,0,0.457355973,-19.08271715,0.386924437
right,green,,left,-5.435770688,1.24734365,0.905769226,2.312963718
right,red,right,right,0.382050053,-8.24379466,0,0
forward,red,forward,,1.907607672,-11.47617045,-9.864873574,0.451558651
right,red,left,forward,0.591098457,0,-37.80511054,-18.57704339
forward,red,,right,2.272799539,-9.909810348,-9.227292702,1.121256347
forward,green,right,,-4.476669762,2.033221847,-18.18654335,0.775217833
