trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.46813987435064,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-221.98271449532044,"{0: 7, 1: 1, 2: 8, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.51561812270597,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.1882841653763,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.79806922674638,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.02733702050926,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.45688907239537,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-93.35285992027879,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.87428064093693,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,4,-52.3813727765627,"{0: 12, 1: 5, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-119.57319342419348,"{0: 16, 1: 7, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.5975864212357,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.9979814157519,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.2660535914392,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-178.0660194846115,"{0: 8, 1: 4, 2: 3, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-199.645718091048,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-211.39407038045604,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-249.92770166681728,"{0: 16, 1: 3, 2: 5, 3: 2, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.4883186508218,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.49008234393925,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,21,-45.55813113001426,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-128.61076630128812,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-182.20989546881887,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.76078369086643,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,7,-95.36385707955093,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-30.336624418297493,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,13,-65.97406298671335,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-178.6393351679566,"{0: 21, 1: 2, 2: 9, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.95459480213486,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-124.86004984841885,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
